,state,state_geo,beta_0,beta_1
0,Alaska,"(64.845079957001, -147.722059036)",1.102160664130679,-0.6413931801207585
1,Washington,"(39.008830667000495, -75.57774116799965)",-0.1305796611689012,-0.6759462937154381
2,Pennsylvania,"(40.793730152, -77.860700294)",-0.3085190963920084,-0.13680609304156235
3,Wyoming,"(43.235541343, -108.109830353)",1.0318709773931063,-0.4059136751160627
4,Ohio,"(40.060210141, -82.404260056)",0.4113096570789356,0.5294679597249189
5,Missouri,"(38.635790776, -92.566300053)",0.18521750665376105,0.6377598605433766
6,New Mexico,"(34.520880952, -106.240580985)",-1.1600521747106225,1.0943819277583957
7,Tennessee,"(35.68094058, -85.774490914)",-0.620058709802303,0.294680090328966
8,Oklahoma,"(35.472031356, -97.521070214)",-0.07029968462309849,2.171896128387671
9,Nebraska,"(41.641040988001, -99.365720623)",1.261416837590793,0.22079642274127262
10,West Virginia,"(38.665510202, -80.712640135)",0.8662018226464632,1.7347386983400188
11,District of Columbia,"(38.890371385, -77.031961127)",-0.017472579595319573,-2.033439189921601
12,Michigan,"(44.661319543001, -84.71439027)",0.1973445077923443,-0.6217315135329187
13,Utah,"(39.360700171, -111.587130635)",2.0864320583940255,0.8660052607267199
14,Georgia,"(32.839681093, -83.627580346)",-0.6150577725373998,-0.41426978149767874
15,Minnesota,"(47.522278629, -120.47001079)",0.9333248977697275,0.6276709662987922
16,Nevada,"(39.49324039, -117.071840564)",-0.22292572566732655,-0.2868576502554967
17,Oregon,"(45.254228894000505, -68.98503133599962)",-0.17386328894997266,-0.2705508289464861
18,Mississippi,"(32.745510099, -89.538030825)",-1.2017407229251724,2.3959233597567926
19,Colorado,"(38.843840757, -106.133610921)",-1.320952839754796,-2.0528993611154136
20,North Carolina,"(35.466220975, -79.159250463)",-0.8603026664344198,0.24238510650573217
21,Delaware,"(39.008830667, -75.577741168)",0.9929608285845829,0.2928690477379908
22,Alabama,"(32.840571122, -86.631860762)",-1.122803589943629,2.7695639009276944
23,New Jersey,"(40.130570048, -74.273691288)",-0.9519519042332629,-0.44437993921115426
24,Virginia,"(37.542680674, -78.457890463)",-0.5701170182145302,0.3915240626541842
25,Massachusetts,"(42.27687047, -72.082690675)",-1.1529164485746366,-0.4547267355237962
26,Connecticut,"(41.56266102, -72.649840952)",-1.6057475640863212,-0.44916871068818065
27,Idaho,"(43.682630005, -114.363730042)",0.16201180434637644,-0.9547678731741207
28,Wisconsin,"(44.393191174, -89.816370742)",1.3099381893275919,-0.007134260093659741
29,Louisiana,"(31.312660644, -92.445680071)",-0.42786901804836835,-0.31198956473516437
30,Montana,"(47.066528972, -109.424420645)",-0.40325805211185,-0.5955023107287224
31,Kansas,"(38.3477403, -98.200781227)",0.6467102982882752,0.5755170089431355
32,Maryland,"(39.290580964, -76.609260111)",1.7476356254457284,1.879062631910059
33,Kentucky,"(37.645970271, -84.774971048)",-0.12777198847216653,0.6819464415673948
34,Vermont,"(43.625381239, -72.517640791)",-0.0249687839349852,-0.6382554703247073
35,New York,"(42.827001032, -75.543970427)",-2.4552506128429497,-0.4648364958318931
36,Hawaii,"(21.304850435, -157.857749403)",0.11520929019203482,-0.6069611344342511
37,Arkansas,"(34.748650124, -92.274490743)",0.20243899090699116,-0.5374301453215148
38,New Hampshire,"(43.655950113, -71.50036092)",1.1420426408178748,0.23344786562351336
39,Indiana,"(39.766910452, -86.149960194)",0.9843567970955123,-0.30115134267697724
40,Rhode Island,"(41.708280193, -71.522470314)",-0.6252991345505453,-2.3553508993734957
41,Florida,"(28.932040377, -81.928960539)",-1.4818796485322607,-0.6611689495916862
42,Texas,"(31.827240407, -99.426770206)",-0.35364715285523096,-0.7315262822068282
43,Arizona,"(34.86597028, -111.763811277)",-0.3933899636195098,-0.21894285793877924
44,California,"(37.638640123, -120.999999538)",-1.277397681705431,-0.8953900302397624
45,North Dakota,"(47.475319779, -100.118421049)",0.7571451556400943,-0.6172100382667629
46,Illinois,"(40.485010283, -88.997710178)",-0.7096914969735709,-0.015059982393438549
47,Maine,"(45.254228894001, -68.985031336)",0.5893131399795275,-0.029001076445790423
48,South Carolina,"(33.998821303, -81.045371207)",-0.08456075422134168,0.052425471263551175
49,Iowa,"(42.469400913, -93.816490556)",2.3282016479716106,0.8531661244271924
50,South Dakota,"(44.353130053, -100.373530637)",1.4171023974359231,0.2845333302967327
